trial_id,density,column,start_x_frac,goal_x_frac,seed,start_x,start_y,goal_x,goal_y,reached,cost,nodes,plan_time_s,t_first_s,nn_time_s,prop_time_s,collision_time_s
5_L_0,5,L,0.15,0.85,0,0.9,0.78,5.1,5.22,True,0.066247,18206,24.4775,4.5652,0.5236,15.6939,4.8935
5_L_1,5,L,0.15,0.85,1,0.9,0.78,5.1,5.22,True,0.123329,48810,18.2092,1.9722,0.3927,8.5626,4.2077
5_L_2,5,L,0.15,0.85,2,0.9,0.78,5.1,5.22,True,0.071692,29754,12.1674,0.0819,0.3035,6.2396,2.945
5_L_3,5,L,0.15,0.85,3,0.9,0.78,5.1,5.22,True,0.118646,45805,12.8055,1.8487,0.2903,6.2334,2.8172
5_L_4,5,L,0.15,0.85,4,0.9,0.78,5.1,5.22,True,0.056719,21569,11.3307,0.0406,0.2982,6.1417,2.7956
5_L_5,5,L,0.15,0.85,5,0.9,0.78,5.1,5.22,True,0.199375,21440,11.0566,5.5408,0.2751,6.1405,2.6504
5_L_6,5,L,0.15,0.85,6,0.9,0.78,5.1,5.22,True,0.075188,42154,12.48,0.9202,0.2897,6.1936,2.7936
5_L_7,5,L,0.15,0.85,7,0.9,0.78,5.1,5.22,True,0.059588,24896,11.7677,0.0478,0.303,6.243,2.86
5_L_8,5,L,0.15,0.85,8,0.9,0.78,5.1,5.22,True,0.104762,22525,11.3647,1.7744,0.2885,6.1348,2.8074
5_L_9,5,L,0.15,0.85,9,0.9,0.78,5.1,5.22,True,0.090526,48067,13.0885,0.6192,0.2921,6.2983,2.8658
5_L_10,5,L,0.15,0.85,10,0.9,0.78,5.1,5.22,True,0.066854,25968,11.8299,0.6216,0.3017,6.268,2.836
5_L_11,5,L,0.15,0.85,11,0.9,0.78,5.1,5.22,True,0.122048,37333,12.9846,2.3831,0.2959,6.5203,3.0143
5_L_12,5,L,0.15,0.85,12,0.9,0.78,5.1,5.22,True,0.06688,29733,12.6467,0.3719,0.308,6.5711,3.0219
5_L_13,5,L,0.15,0.85,13,0.9,0.78,5.1,5.22,False,,24017,12.0498,,0.2839,6.5565,2.9366
5_L_14,5,L,0.15,0.85,14,0.9,0.78,5.1,5.22,True,0.210044,35285,12.5962,3.593,0.2931,6.4391,2.9259
5_L_15,5,L,0.15,0.85,15,0.9,0.78,5.1,5.22,True,0.082394,37848,11.9598,0.9139,0.2845,6.0299,2.7113
5_L_16,5,L,0.15,0.85,16,0.9,0.78,5.1,5.22,True,0.060924,23990,11.2288,0.1309,0.2888,6.0082,2.7626
5_L_17,5,L,0.15,0.85,17,0.9,0.78,5.1,5.22,True,0.064611,31183,13.3151,0.0616,0.3292,6.7892,3.2408
5_L_18,5,L,0.15,0.85,18,0.9,0.78,5.1,5.22,True,0.159763,65415,15.3975,4.8628,0.3098,6.7487,3.2566
5_L_19,5,L,0.15,0.85,19,0.9,0.78,5.1,5.22,True,0.664515,72156,15.2325,6.3263,0.2984,6.5874,3.0802
5_L_20,5,L,0.15,0.85,20,0.9,0.78,5.1,5.22,True,0.094601,38174,12.5488,1.4258,0.2946,6.333,2.8143
5_L_21,5,L,0.15,0.85,21,0.9,0.78,5.1,5.22,True,0.085125,48439,12.9906,1.6387,0.2879,6.2085,2.8622
5_L_22,5,L,0.15,0.85,22,0.9,0.78,5.1,5.22,True,0.082209,47931,13.6471,2.7352,0.3072,6.5553,2.9734
5_L_23,5,L,0.15,0.85,23,0.9,0.78,5.1,5.22,True,0.095269,50876,13.2813,1.2005,0.2921,6.3035,2.8736
5_L_24,5,L,0.15,0.85,24,0.9,0.78,5.1,5.22,True,0.251694,60702,14.172,10.8322,0.2916,6.4193,2.9527
5_L_25,5,L,0.15,0.85,25,0.9,0.78,5.1,5.22,True,0.158182,60709,13.9443,6.8832,0.2877,6.3425,2.9173
5_L_26,5,L,0.15,0.85,26,0.9,0.78,5.1,5.22,True,0.108999,52476,13.5252,1.5859,0.292,6.4168,2.9009
5_L_27,5,L,0.15,0.85,27,0.9,0.78,5.1,5.22,True,0.662819,65519,14.6065,8.8401,0.2927,6.5804,2.9741
5_L_28,5,L,0.15,0.85,28,0.9,0.78,5.1,5.22,True,0.176069,51120,13.2319,4.6832,0.2848,6.2927,2.8613
5_L_29,5,L,0.15,0.85,29,0.9,0.78,5.1,5.22,True,0.085055,37677,12.4681,2.1413,0.3066,6.2904,2.815
5_C_0,5,C,0.5,0.5,0,3.0,0.78,3.0,5.22,True,0.054638,12054,10.6117,0.2717,0.2933,6.0751,2.7172
5_C_1,5,C,0.5,0.5,1,3.0,0.78,3.0,5.22,True,0.03912,8001,10.4149,0.0277,0.2883,6.0187,2.7684
5_C_2,5,C,0.5,0.5,2,3.0,0.78,3.0,5.22,True,0.049947,13123,10.824,0.2604,0.2986,6.1278,2.7651
5_C_3,5,C,0.5,0.5,3,3.0,0.78,3.0,5.22,True,0.098547,37021,12.3185,1.4799,0.2972,6.2442,2.8019
5_C_4,5,C,0.5,0.5,4,3.0,0.78,3.0,5.22,True,0.049479,17238,11.1082,2.0507,0.3044,6.2412,2.7111
5_C_5,5,C,0.5,0.5,5,3.0,0.78,3.0,5.22,True,0.044226,12706,11.0757,0.0952,0.3097,6.2685,2.8498
5_C_6,5,C,0.5,0.5,6,3.0,0.78,3.0,5.22,True,0.114656,37197,12.4195,1.9083,0.2959,6.2829,2.7992
5_C_7,5,C,0.5,0.5,7,3.0,0.78,3.0,5.22,True,0.040979,9729,10.8385,0.0305,0.3005,6.2321,2.8298
5_C_8,5,C,0.5,0.5,8,3.0,0.78,3.0,5.22,True,0.116165,26200,11.8609,3.205,0.2865,6.2902,2.8561
5_C_9,5,C,0.5,0.5,9,3.0,0.78,3.0,5.22,True,0.137737,41644,13.4485,1.7755,0.314,6.6715,3.0338
5_C_10,5,C,0.5,0.5,10,3.0,0.78,3.0,5.22,True,0.468892,51643,14.2826,6.3934,0.3036,6.7819,3.1288
5_C_11,5,C,0.5,0.5,11,3.0,0.78,3.0,5.22,True,0.039909,8803,12.0711,0.0557,0.3357,6.9658,3.1659
5_C_12,5,C,0.5,0.5,12,3.0,0.78,3.0,5.22,True,0.046217,10769,11.3466,0.0365,0.3125,6.4804,2.968
5_C_13,5,C,0.5,0.5,13,3.0,0.78,3.0,5.22,False,,60663,14.9611,,0.3196,6.7317,3.0888
5_C_14,5,C,0.5,0.5,14,3.0,0.78,3.0,5.22,True,0.063705,41477,13.2378,6.3675,0.317,6.5283,2.9518
5_C_15,5,C,0.5,0.5,15,3.0,0.78,3.0,5.22,True,0.068869,50966,13.7632,4.4621,0.3065,6.5103,2.9955
5_C_16,5,C,0.5,0.5,16,3.0,0.78,3.0,5.22,True,0.040309,11043,10.771,0.0203,0.2929,6.1051,2.8261
5_C_17,5,C,0.5,0.5,17,3.0,0.78,3.0,5.22,True,0.044348,13939,10.7975,0.4248,0.3026,6.1072,2.7074
5_C_18,5,C,0.5,0.5,18,3.0,0.78,3.0,5.22,True,0.109205,32292,11.9665,1.5294,0.294,6.195,2.7563
5_C_19,5,C,0.5,0.5,19,3.0,0.78,3.0,5.22,True,0.045038,11853,10.9119,0.0231,0.2954,6.2036,2.8185
5_C_20,5,C,0.5,0.5,20,3.0,0.78,3.0,5.22,True,0.079338,32918,12.138,0.5812,0.2986,6.249,2.8056
5_C_21,5,C,0.5,0.5,21,3.0,0.78,3.0,5.22,True,0.051192,13677,11.0729,0.2346,0.3018,6.2115,2.8641
5_C_22,5,C,0.5,0.5,22,3.0,0.78,3.0,5.22,True,0.045937,15289,10.9621,0.3193,0.3051,6.1212,2.7826
5_C_23,5,C,0.5,0.5,23,3.0,0.78,3.0,5.22,True,0.077724,27565,11.7909,0.5581,0.2985,6.1711,2.8391
5_C_24,5,C,0.5,0.5,24,3.0,0.78,3.0,5.22,True,0.215655,24476,11.4696,5.3094,0.2871,6.1361,2.8134
5_C_25,5,C,0.5,0.5,25,3.0,0.78,3.0,5.22,True,0.041298,10412,10.8321,0.052,0.3043,6.1622,2.8482
5_C_26,5,C,0.5,0.5,26,3.0,0.78,3.0,5.22,True,0.061312,27488,11.6892,3.9356,0.3067,6.205,2.7441
5_C_27,5,C,0.5,0.5,27,3.0,0.78,3.0,5.22,True,0.070242,23080,11.7148,0.4666,0.303,6.2941,2.857
5_C_28,5,C,0.5,0.5,28,3.0,0.78,3.0,5.22,True,0.069872,22683,11.6895,0.4024,0.308,6.2719,2.8804
5_C_29,5,C,0.5,0.5,29,3.0,0.78,3.0,5.22,True,0.294321,38350,12.4567,7.8067,0.2865,6.3034,2.8177
5_R_0,5,R,0.85,0.15,0,5.1,0.78,0.9,5.22,True,0.075658,42600,12.8497,3.1599,0.3081,6.3247,2.8787
5_R_1,5,R,0.85,0.15,1,5.1,0.78,0.9,5.22,True,0.444442,38238,12.4826,7.3823,0.2841,6.3873,2.7588
5_R_2,5,R,0.85,0.15,2,5.1,0.78,0.9,5.22,True,0.060133,21726,11.8355,0.085,0.3018,6.4067,2.9363
5_R_3,5,R,0.85,0.15,3,5.1,0.78,0.9,5.22,True,0.075777,37693,12.6717,0.59,0.2938,6.4227,2.8786
5_R_4,5,R,0.85,0.15,4,5.1,0.78,0.9,5.22,True,0.188138,24381,11.5852,10.8002,0.2733,6.407,2.6934
5_R_5,5,R,0.85,0.15,5,5.1,0.78,0.9,5.22,True,0.171869,42435,12.5734,2.3593,0.2751,6.2941,2.8103
5_R_6,5,R,0.85,0.15,6,5.1,0.78,0.9,5.22,True,0.339305,60591,13.4312,4.0158,0.2802,6.1559,2.769
5_R_7,5,R,0.85,0.15,7,5.1,0.78,0.9,5.22,True,0.122336,62633,13.5057,8.3054,0.2811,6.0507,2.8241
5_R_8,5,R,0.85,0.15,8,5.1,0.78,0.9,5.22,True,0.091406,25666,11.3475,0.521,0.2777,6.0213,2.788
5_R_9,5,R,0.85,0.15,9,5.1,0.78,0.9,5.22,True,0.099308,51896,13.0663,2.0831,0.2833,6.1862,2.8092
5_R_10,5,R,0.85,0.15,10,5.1,0.78,0.9,5.22,True,0.059839,22173,12.4862,0.6342,0.3311,6.7655,3.0793
5_R_11,5,R,0.85,0.15,11,5.1,0.78,0.9,5.22,True,0.064485,28638,12.8252,0.7253,0.3229,6.6665,3.0646
5_R_12,5,R,0.85,0.15,12,5.1,0.78,0.9,5.22,True,0.113896,51757,13.5018,1.4198,0.2941,6.3959,2.9279
5_R_13,5,R,0.85,0.15,13,5.1,0.78,0.9,5.22,True,0.072404,34961,12.3052,1.9022,0.3053,6.2557,2.8322
