trial_id,density,column,start_x_frac,goal_x_frac,seed,start_x,start_y,goal_x,goal_y,aorrt_reached,K_edges,control_cost_aorrt,control_cost_scp,control_cost_pct_decrease,risk_cost_aorrt,risk_cost_scp,risk_cost_pct_decrease,log_survive_aorrt,log_survive_scp,log_survive_delta,scp_converged,scp_iters,scp_n_solves,scp_stop_reason,plan_time_s,scp_time_s,total_time_s
5_L_299673,5,L,0.15,0.85,299673,0.9,0.78,5.1,5.22,True,151,12.763559,13.982866,9.553,52.167557,31.198684,-40.195,-49.831,-19.9049,29.9261,False,30,41,max_iters,14.7077,72.9866,88.7331
5_L_926314,5,L,0.15,0.85,926314,0.9,0.78,5.1,5.22,True,72,27.007547,19.551213,-27.608,35.307072,18.240786,-48.337,-43.5798,-13.4834,30.0964,False,30,42,max_iters,12.6683,40.6977,53.9792
5_L_381668,5,L,0.15,0.85,381668,0.9,0.78,5.1,5.22,True,84,43.081791,36.566934,-15.122,45.428895,39.465404,-13.127,-52.0669,-41.3751,10.6918,False,30,42,max_iters,11.4903,44.281,56.4016
5_L_37366,5,L,0.15,0.85,37366,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,12.8461,,13.0427
5_L_261966,5,L,0.15,0.85,261966,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,12.9209,,13.114
5_L_800712,5,L,0.15,0.85,800712,0.9,0.78,5.1,5.22,True,96,17.283822,17.102636,-1.048,47.928848,35.765354,-25.378,-56.0175,-35.4657,20.5518,False,30,40,max_iters,14.0351,45.1189,59.8217
5_L_358831,5,L,0.15,0.85,358831,0.9,0.78,5.1,5.22,True,49,22.254659,19.8475,-10.816,34.216851,29.509272,-13.758,-51.237,-38.956,12.281,False,30,39,max_iters,12.4257,26.2987,39.2047
5_L_487244,5,L,0.15,0.85,487244,0.9,0.78,5.1,5.22,True,54,24.759294,20.593478,-16.825,22.801566,20.359107,-10.712,-22.5127,-19.1883,3.3244,False,30,41,max_iters,12.2108,30.7774,43.5258
5_L_813857,5,L,0.15,0.85,813857,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,12.2001,,12.3973
5_L_137845,5,L,0.15,0.85,137845,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.033,,10.2308
5_L_758723,5,L,0.15,0.85,758723,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.658,,10.8496
5_L_967016,5,L,0.15,0.85,967016,0.9,0.78,5.1,5.22,True,124,15.966042,18.470452,15.686,38.414386,27.187863,-29.225,-34.0751,-18.9559,15.1193,False,30,40,max_iters,12.2759,57.7421,70.7762
5_L_453353,5,L,0.15,0.85,453353,0.9,0.78,5.1,5.22,True,95,28.400632,26.337203,-7.265,59.324863,55.026073,-7.246,-74.6141,-65.4214,9.1928,False,30,41,max_iters,11.1387,43.1796,54.9702
5_L_59345,5,L,0.15,0.85,59345,0.9,0.78,5.1,5.22,True,103,16.748521,11.137205,-33.503,24.997037,18.608339,-25.558,-17.5486,-10.2398,7.3088,False,30,37,max_iters,11.8703,43.4777,56.0794
5_L_601514,5,L,0.15,0.85,601514,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.3908,,11.5827
5_L_866935,5,L,0.15,0.85,866935,0.9,0.78,5.1,5.22,True,78,29.916615,23.785343,-20.495,33.23761,32.249084,-2.974,-32.6145,-31.0686,1.5459,False,30,42,max_iters,10.3186,38.4738,49.403
5_L_98489,5,L,0.15,0.85,98489,0.9,0.78,5.1,5.22,True,84,41.229802,28.09435,-31.859,48.136073,42.900093,-10.877,-62.5033,-48.987,13.5163,False,30,39,max_iters,11.9296,35.8286,48.3694
5_L_281239,5,L,0.15,0.85,281239,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.8792,,10.0817
5_L_155272,5,L,0.15,0.85,155272,0.9,0.78,5.1,5.22,True,205,39.345528,25.414805,-35.406,106.146139,79.294181,-25.297,-122.3237,-76.1791,46.1446,False,30,40,max_iters,10.9378,89.2073,101.2579
5_L_281962,5,L,0.15,0.85,281962,0.9,0.78,5.1,5.22,True,169,45.139311,25.141035,-44.303,94.605068,88.604741,-6.343,-108.8952,-98.0965,10.7987,False,30,38,max_iters,11.3382,71.4943,83.7593
5_L_371867,5,L,0.15,0.85,371867,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,12.1284,,12.3147
5_L_494148,5,L,0.15,0.85,494148,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,12.4835,,12.6694
5_C_299673,5,C,0.5,0.5,299673,3.0,0.78,3.0,5.22,True,117,27.648212,23.738752,-14.14,30.249365,21.951966,-27.43,-25.79,-12.5041,13.2859,False,30,41,max_iters,11.2513,52.0557,64.0639
5_C_926314,5,C,0.5,0.5,926314,3.0,0.78,3.0,5.22,True,83,13.38525,10.449262,-21.935,23.883161,16.908766,-29.202,-19.3052,-10.6756,8.6296,False,22,32,trust_floor_rho,11.7571,30.7622,43.139
5_C_381668,5,C,0.5,0.5,381668,3.0,0.78,3.0,5.22,True,86,35.375177,23.019463,-34.928,52.328811,46.123826,-11.858,-62.1974,-51.9069,10.2904,False,16,29,trust_floor_rho,11.7031,28.6193,40.9432
5_C_37366,5,C,0.5,0.5,37366,3.0,0.78,3.0,5.22,True,56,27.42134,16.704416,-39.082,21.05346,18.846451,-10.483,-19.0187,-16.0234,2.9953,False,30,38,max_iters,11.7644,26.9178,39.1867
5_C_261966,5,C,0.5,0.5,261966,3.0,0.78,3.0,5.22,True,99,9.364163,13.732898,46.654,69.176579,49.084975,-29.044,-98.1468,-53.3002,44.8465,False,30,40,max_iters,11.2993,43.9735,55.9442
5_C_800712,5,C,0.5,0.5,800712,3.0,0.78,3.0,5.22,True,42,19.820314,17.489323,-11.761,21.160056,15.917522,-24.776,-23.409,-15.486,7.923,False,30,39,max_iters,11.7922,23.6564,35.8888
5_C_358831,5,C,0.5,0.5,358831,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,11.8554,,12.0393
5_C_487244,5,C,0.5,0.5,487244,3.0,0.78,3.0,5.22,True,59,14.538019,15.638757,7.571,30.188371,25.036745,-17.065,-34.767,-25.0045,9.7624,False,22,33,trust_floor_rho,12.2594,22.0767,34.8629
5_C_813857,5,C,0.5,0.5,813857,3.0,0.78,3.0,5.22,True,53,11.348536,12.688405,11.807,22.980637,16.06184,-30.107,-23.1625,-13.1509,10.0116,False,19,30,trust_floor_rho,11.5897,20.8999,33.0
5_C_137845,5,C,0.5,0.5,137845,3.0,0.78,3.0,5.22,True,57,11.491435,11.749283,2.244,44.956677,35.846648,-20.264,-81.7274,-47.0183,34.709,False,30,41,max_iters,11.9763,27.2934,39.7978
5_C_758723,5,C,0.5,0.5,758723,3.0,0.78,3.0,5.22,True,112,41.864636,30.709883,-26.645,80.589272,64.571555,-19.876,-118.6613,-78.2402,40.421,False,30,39,max_iters,11.3184,49.4022,61.5164
5_C_967016,5,C,0.5,0.5,967016,3.0,0.78,3.0,5.22,True,45,14.322912,13.371021,-6.646,11.385206,10.916102,-4.12,-8.395,-7.8695,0.5255,False,19,31,trust_floor_rho,12.0733,17.5615,30.072
5_C_453353,5,C,0.5,0.5,453353,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,9.3123,,9.4996
5_C_59345,5,C,0.5,0.5,59345,3.0,0.78,3.0,5.22,True,50,15.170658,15.404425,1.541,11.01046,9.635536,-12.487,-7.4598,-5.7557,1.7041,False,26,37,trust_floor_rho,12.1642,22.9778,35.6175
5_C_601514,5,C,0.5,0.5,601514,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,9.9454,,10.1321
5_C_866935,5,C,0.5,0.5,866935,3.0,0.78,3.0,5.22,True,52,24.835596,22.920211,-7.712,23.290047,19.63041,-15.713,-24.2675,-17.992,6.2754,False,30,41,max_iters,11.2906,24.1568,35.909
5_C_98489,5,C,0.5,0.5,98489,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,12.2755,,12.4552
5_C_281239,5,C,0.5,0.5,281239,3.0,0.78,3.0,5.22,True,43,11.690839,11.849524,1.357,21.751469,18.070789,-16.922,-24.4202,-18.5792,5.841,False,26,37,trust_floor_rho,12.2039,19.7702,32.4259
5_C_155272,5,C,0.5,0.5,155272,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,11.56,,11.7535
5_C_281962,5,C,0.5,0.5,281962,3.0,0.78,3.0,5.22,True,80,10.630074,13.111928,23.347,55.388721,45.286537,-18.239,-78.2829,-53.3254,24.9575,False,30,41,max_iters,11.8545,37.6029,50.0638
5_C_371867,5,C,0.5,0.5,371867,3.0,0.78,3.0,5.22,False,,,,,,,,,,,,,,,11.2522,,11.4466
5_C_494148,5,C,0.5,0.5,494148,3.0,0.78,3.0,5.22,True,62,30.594775,33.389141,9.133,27.829051,15.065447,-45.864,-37.5682,-10.5497,27.0185,False,30,40,max_iters,11.5868,28.2332,40.3618
5_R_299673,5,R,0.85,0.15,299673,5.1,0.78,0.9,5.22,True,95,39.905493,33.525415,-15.988,55.896464,24.283635,-56.556,-74.1489,-17.7845,56.3643,False,30,40,max_iters,11.8019,41.396,53.8433
5_R_926314,5,R,0.85,0.15,926314,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,8.8529,,9.0528
5_R_381668,5,R,0.85,0.15,381668,5.1,0.78,0.9,5.22,True,49,21.493805,19.862962,-7.588,27.658236,22.808589,-17.534,-33.5546,-24.1864,9.3682,False,30,40,max_iters,11.3966,20.5556,32.4315
5_R_37366,5,R,0.85,0.15,37366,5.1,0.78,0.9,5.22,True,143,14.315962,20.209412,41.167,50.968472,39.269555,-22.953,-54.363,-32.2636,22.0994,False,30,38,max_iters,12.4824,57.9047,71.214
5_R_261966,5,R,0.85,0.15,261966,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,11.2811,,11.4651
5_R_800712,5,R,0.85,0.15,800712,5.1,0.78,0.9,5.22,False,,,,,,,,,,,,,,,12.5545,,12.7342
5_R_358831,5,R,0.85,0.15,358831,5.1,0.78,0.9,5.22,True,75,39.797907,26.018977,-34.622,54.659601,43.302633,-20.778,-84.7558,-51.2158,33.54,False,30,42,max_iters,10.2846,33.751,44.616
5_R_487244,5,R,0.85,0.15,487244,5.1,0.78,0.9,5.22,True,58,25.274621,19.169346,-24.156,28.998919,27.271289,-5.958,-32.3974,-29.4372,2.9602,False,28,39,trust_floor_rho,11.9567,24.9146,37.4036
5_R_813857,5,R,0.85,0.15,813857,5.1,0.78,0.9,5.22,True,52,22.482863,18.419811,-18.072,24.295762,17.596664,-27.573,-28.6155,-15.216,13.3995,False,30,41,max_iters,12.1238,22.2386,34.8318
5_R_137845,5,R,0.85,0.15,137845,5.1,0.78,0.9,5.22,True,117,16.374941,17.824208,8.851,89.456607,69.535535,-22.269,-147.1074,-85.1614,61.946,False,30,41,max_iters,11.8695,47.3902,59.9955
