x,y,theta,v_b,omega,t
2.000000000000000000e+00,-1.000000000000000056e-01,1.570796326794896336e+00,-4.021905406442752590e-22,-2.695718114660972181e-23,0.000000000000000000e+00
2.000507053265689894e+00,-1.148014417939238058e-01,1.635133725881112943e+00,-2.592286835457604383e-02,9.888705109600193222e-02,9.500000000000000666e-01
2.000631710395807339e+00,-1.170180536101641661e-01,1.679324128112409609e+00,9.844559861473724943e-03,6.821466390807578994e-02,1.500000000000000000e+00
2.000520555752966168e+00,-1.159706488517098788e-01,1.718393759124930309e+00,-2.891061164000862261e-03,6.351214973835490885e-02,2.100000000000000089e+00
2.001424349231418987e+00,-1.205107733296689326e-01,1.807842165016664060e+00,-6.551495877980506935e-03,1.009545715820334977e-01,3.100000000000000089e+00
2.000305653443898990e+00,-1.168594963415562349e-01,1.882187068987910106e+00,1.026124794686856384e-02,8.040050466271281282e-02,3.950000000000000178e+00
1.995386293440515768e+00,-1.030358526510197631e-01,1.935180296896743313e+00,2.478152661661316494e-02,6.540751163913852140e-02,4.700000000000000178e+00
1.979169521095098583e+00,-6.498798671124304815e-02,2.007583014437571478e+00,4.841242069260939807e-02,7.556173281682881937e-02,5.700000000000000178e+00
1.961838365772344162e+00,-3.034453883181272016e-02,2.059687641443079809e+00,4.876363303260280307e-02,5.980828659377174922e-02,6.500000000000000000e+00
1.943974803135819052e+00,1.597833016736329879e-03,2.100791965130088368e+00,4.895832087718000880e-02,5.214577836377282810e-02,7.250000000000000000e+00
1.949092020094765232e+00,-5.860253355817548332e-03,2.162532018440159742e+00,-3.357543480849978224e-02,6.755915105555412858e-02,8.250000000000000000e+00
1.926108780466173398e+00,2.541535563309543083e-02,2.221184601703125594e+00,7.595956149440233340e-02,5.885641449437175460e-02,9.199999999999999289e+00
1.901292916518353637e+00,5.706110793054935265e-02,2.249632360999171077e+00,6.180355088836218119e-02,4.046918990216178541e-02,9.799999999999998934e+00
1.885790544020705006e+00,7.597177071077304555e-02,2.265163523675781665e+00,4.932001744436572549e-02,3.043100546823961430e-02,1.024999999999999822e+01
1.857596970468351927e+00,1.090030204364257627e-01,2.288933280884612564e+00,6.918029205095464762e-02,3.596605820444689211e-02,1.094999999999999751e+01
1.844263463184231622e+00,1.241028270584813575e-01,2.299351260957414933e+00,4.900455832060804373e-02,2.514514677590699160e-02,1.129999999999999716e+01
1.824449740418354837e+00,1.459909706547012909e-01,2.313358257929337469e+00,5.663523837844439829e-02,2.568014539165284008e-02,1.184999999999999787e+01
1.782118880673474237e+00,1.909991045440359581e-01,2.336974908087353864e+00,8.814254363272967796e-02,3.159115104660212975e-02,1.264999999999999858e+01
1.764994772883174967e+00,2.086375572449529203e-01,2.345840768374396479e+00,5.703402215169563194e-02,2.065905122063186120e-02,1.299999999999999822e+01
1.765678241273339832e+00,2.081093268604990720e-01,2.366594849258870426e+00,-2.950516249951923298e-02,2.918444672099366338e-02,1.379999999999999893e+01
1.764853364721604922e+00,2.088773570170124327e-01,2.377719352691803678e+00,2.406103231903261933e-02,2.137239283218604277e-02,1.424999999999999822e+01
1.747756010095640411e+00,2.250475168658141734e-01,2.388965366834588711e+00,5.468491462202527270e-02,1.989193398108040495e-02,1.479999999999999893e+01
1.734858952788679964e+00,2.370523443887251336e-01,2.394905959036198961e+00,4.713555820092872606e-02,1.479785230923963066e-02,1.514999999999999858e+01
1.652761446282452029e+00,3.114360081143418557e-01,2.414518280834049513e+00,1.415130509656023494e-01,2.190828279021487038e-02,1.614999999999999858e+01
1.595866377543099457e+00,3.615253638734342023e-01,2.424344105834749019e+00,1.017903821749204657e-01,1.112575326191530753e-02,1.679999999999999716e+01
1.537998812073920973e+00,4.116620487155335240e-01,2.430397212673590879e+00,1.022610980715044499e-01,6.403532640096305795e-03,1.754999999999999716e+01
1.518784858496823986e+00,4.281806626166002050e-01,2.433969424509867530e+00,-1.100531727303185638e-03,3.883008173555311908e-03,1.829999999999999716e+01
1.497730686269404865e+00,4.461467355821000513e-01,2.435711149861069291e+00,6.843635281139626159e-02,1.945533750937472302e-03,1.894999999999999574e+01
1.439697697313324642e+00,4.956497056195052209e-01,2.434380912796669794e+00,1.099586485855863355e-01,-3.627392978092176378e-03,1.974999999999999645e+01
1.395573118131966162e+00,5.334738165474809390e-01,2.431064004188961292e+00,8.876629341255341810e-02,-6.660674528218691118e-03,2.034999999999999787e+01
1.376037083996830557e+00,5.503192895379697136e-01,2.428879308237150703e+00,6.252394366995144004e-02,-5.922993297101796818e-03,2.069999999999999929e+01
1.343683737409796297e+00,5.784187626508378033e-01,2.423773732383808444e+00,7.689592693925989542e-02,-1.010279475015106627e-02,2.130000000000000071e+01
1.291266482303162544e+00,6.246977627702312574e-01,2.412386032394106650e+00,1.023359759408310060e-01,-1.806576009091928267e-02,2.205000000000000071e+01
1.239311332127454479e+00,6.717837868191146589e-01,2.397646370681837613e+00,9.887539235511486058e-02,-2.275392983865388852e-02,2.275000000000000000e+01
1.165441924971291954e+00,7.417033823514548319e-01,2.368456305000075091e+00,1.200209725927770948e-01,-3.742397023624249863e-02,2.364999999999999858e+01
1.152781948946262514e+00,7.540033804330480427e-01,2.333586480330259061e+00,-2.516571972131962862e-02,-4.033440814255293688e-02,2.454999999999999716e+01
1.152806272592705294e+00,7.540040228273777734e-01,2.320632408881301512e+00,1.759281175401528063e-02,-2.659665763160271382e-02,2.494999999999999574e+01
1.136017030617034962e+00,7.723778235318388141e-01,2.303990693639963450e+00,5.611432896238739004e-02,-2.849080333905790186e-02,2.554999999999999716e+01
1.084757097394948744e+00,8.315645020954475219e-01,2.265136305029872954e+00,1.021927918352082409e-01,-5.083742377724096567e-02,2.644999999999999574e+01
1.053101399402526894e+00,8.706367074361566205e-01,2.237492867726564416e+00,7.263427763402935389e-02,-4.299058900319443349e-02,2.704999999999999716e+01
1.006691814734772761e+00,9.328635165008722918e-01,2.184126250270860492e+00,9.247135893136458618e-02,-6.771053132800175511e-02,2.794999999999999574e+01
9.764266194099824325e-01,9.778993806781473008e-01,2.139444799765926497e+00,6.913092663688323591e-02,-6.142775012121116929e-02,2.864999999999999503e+01
9.585306653069155525e-01,1.006873882668901876e+00,2.108576254609805467e+00,5.746668839499112502e-02,-5.265677175608150101e-02,2.919999999999999574e+01
9.158471404807873029e-01,1.085373092650106841e+00,2.028152721329349539e+00,1.286175813020819514e-01,-1.211989391749489359e-01,3.004999999999999716e+01
8.624846888022318359e-01,1.226581976147389952e+00,1.815778731345058628e+00,1.868250923760035320e-01,-3.306113035447438286e-01,3.094999999999999574e+01
8.532588687708564379e-01,1.393457556003437681e+00,1.401916139838523145e+00,1.703197974887979971e-01,-5.098428369990675169e-01,3.189999999999999503e+01
8.619537477851886287e-01,1.431036652976060752e+00,1.284399647764302710e+00,9.640656199985667141e-02,-2.956032557877703026e-01,3.219999999999999574e+01
9.111252391480322288e-01,1.538502429455857134e+00,1.017909871170586067e+00,1.304592825087360630e-01,-2.509990499212107484e-01,3.319999999999999574e+01
9.435802722903344764e-01,1.585544323206828032e+00,9.213410993921007375e-01,7.451181529772743506e-02,-1.009174602007583410e-01,3.379999999999999716e+01
9.927567710198214046e-01,1.645363438335269990e+00,8.512855162164252310e-01,9.266037830179230106e-02,-6.638713692776435082e-02,3.469999999999999574e+01
1.005368962651595810e+00,1.659565765092236411e+00,8.381506044899244001e-01,6.260106736044394882e-02,-4.127787308960412932e-02,3.494999999999999574e+01
1.068629890074255462e+00,1.726691814478339193e+00,7.943342751469884000e-01,1.139694601274883062e-01,-4.892095589916962972e-02,3.589999999999999858e+01
1.097018397410787882e+00,1.755125493129692904e+00,7.785929998377750794e-01,7.244297927039529406e-02,-2.528542182626003498e-02,3.635000000000000142e+01
1.137796219818397514e+00,1.794709663412000777e+00,7.635633257391257755e-01,8.625486561039945321e-02,-1.933813613416982338e-02,3.705000000000000426e+01
1.202239904908767532e+00,1.855558144006663523e+00,7.513362527828648663e-01,1.137620917647846897e-01,-1.193915308078690070e-02,3.790000000000000568e+01
1.282593401121749466e+00,1.930313731602181448e+00,7.493558919975452648e-01,1.260954580814671044e-01,2.558937874538981441e-03,3.880000000000000426e+01
1.343460666073460930e+00,1.987279410558252746e+00,7.568434148538443207e-01,1.027990071375065873e-01,1.400533589405126254e-02,3.955000000000000426e+01
1.402521881525355507e+00,2.043921798435984982e+00,7.734584631463553572e-01,1.019286965059139211e-01,2.429430766892495125e-02,4.035000000000000142e+01
1.443194606076144915e+00,2.084288134964057182e+00,7.908681526484715452e-01,8.000519659957675001e-02,2.818389484623802510e-02,4.100000000000000000e+01
